번호,단어,의미
293,leisure,여가 한가한
294,urban,도시의
295,witness,목격자 목격하다
296,admit,"인정하다, 입학을 허가하다"
297,muscle,"근육, 힘"
298,device,"장치, 고안, 방책"
299,suppose,"추측하다, 가정하다"
300,owe,빚지고 있다
301,intend,"~할 작정이다, 의도하다"
302,aspect,"면, 관점"
303,potential,잠재적인 잠재력
304,award,상 (상 등을) 수여하다
305,preserve,"보존하다, 보호하다"
306,spot,"장소, 점 발견하다"
307,underground,"지하의, 비밀의 지하"
308,consequence,"결과, 중요성"
309,target,목표 목표로 삼다
310,unless,[접] 만약 ~이 아니면
311,accomplish,"이루다, 성취하다"
312,adopt,"입양하다, 채택하다"
313,unique,"독특한, 유일한"
314,slip,"미끄러지다, 실수하다 종이 조각"
315,civilization,문명
316,row,"열, 줄 배를 젓다"
317,horizon,지평선
318,atmosphere,"대기, 분위기"
319,label,"꼬리표, 상표 라벨을 붙이다"
320,decorate,"장식하다, ~에게 훈장을 주다"
321,identify,"~임을 확인하다, 식별하다, 동일시하다"
322,standard,"표준, 기준 기준의, 표준의"
323,scale,"규모, 저울, 비늘"
324,evident,명백한
325,seldom,거의 ~않는
326,secretary,"비서, 장관"
327,basis,"원리, 기초"
328,automatic,"자동적인, 기계적인"
329,region,지역
330,rise,"일어나다, 오르다 상승"
331,addict,중독시키다 중독자
332,disappoint,실망시키다
333,artificial,"인공적인, 인조의"
334,possess,"소유하다, ~의 마음을 사로잡다"
335,substance,"물질, 본질, 실체"
336,realistic,"현실적인, 현실주의의"
337,encounter,(우연히) 만나다 마주침
338,differ,"다르다, 의견을 달리하다"
339,principle,"원칙, 원리"
340,memorize,기억하다
341,physics,물리학
342,evaluate,평가하다
343,tremendous,"굉장한, 무시무시한"
344,application,"적용, 신청"
345,vote,투표 투표하다
346,spread,"퍼짐, 확산 펼치다, 퍼지다"
347,impact,"충격, 영향 충격을 주다"
348,cooperate,협력하다
349,emit,"(빛, 열, 소리 등을)방출하다"
350,request,요청 요청하다
351,guarantee,보장하다 보증
352,resist,저항하다
353,fulfill,"달성하다, 이행하다"
354,stink,"역겹다, 악취를 풍기다"
355,grant,"수여하다, 승인하다"
356,rely,"의지하다, 믿다"
357,permanent,"영원한, 영구적인"
358,emergency,비상 사태
359,rid,제거하다
360,theme,"주제, 화제"
361,hesitate,"주저하다, 망설이다"
362,location,"위치, 장소"
363,restrict,"제한하다, 한정하다"
364,organism,"유기체, 생물"
365,resolve,"해결하다, 결심하다"
366,offer,"제공하다, 제안하다"
367,distribute,"분배하다, 분포시키다"
368,rainforest,열대우림
369,circumstance,"상황, 환경"
370,interpret,"해석하다, 통역하다"
371,suitable,"적절한, 적합한"
372,curve,"곡선, 속임수"
373,annoy,"괴롭히다, 귀찮게 하다"
374,frighten,겁먹게 하다
375,estimate,"평가하다 견적, 평가"
376,refuse,거절하다
377,adventure,모험 위험에 빠뜨리다
378,entrance,"입구, 입장"
379,persuade,설득하다
380,perceive,"인지하다, 인식하다"
381,recite,암송하다
382,gather,모으다
383,cabin,"객실, 선실, 오두막집"
384,gear,"장비, 기어 맞게 조정하다"
385,ray,광선
386,release,"놓아주다, 방출하다 석방, 발표"
387,rank,"지위, 계급 매기다, (등급을)차지하다"
388,symphony,교향곡
389,envy,부러워하다 부러움
390,corporate,"회사의, 법인의"
391,alternative,대안 대안의
392,retire,은퇴하다
393,appeal,"호소하다, 관심을 끌다 호소, 항의"
394,identical,"동일한, 일란성의"
395,investment,투자
396,autograph,서명 서명하다
397,slave,노예
398,harm,"손해, 손상 해치다"
399,authority,"권위, 당국"
400,innocence,"결백, 무죄, 순진"
401,infant,"유아, 유치원생"
402,calculate,계산하다
403,charity,자선 단체
404,receive,받다
405,whereas,"[접] 그런데, ~에 반해서"
406,board,"판자, 게시판 타다"
407,ignorant,"무지한, 무식한"
408,depend,"의존하다, ~에 달려 있다"
409,pure,"순수한, 깨끗한"
410,extinct,"멸종된, 사라진"
411,household,가정 가정의
412,chapter,"(책의) 장, 시기, 사제단"
413,refund,환불하다 환불금
414,institute,"기관, 협회"
415,lately,최근에
416,accept,받아들이다
417,ashamed,부끄러워하는
418,dense,"밀집한, (앞이 안 보이게) 짙은"
419,rescue,구출하다 구출
420,continue,계속하다
421,destination,목적지
422,expand,"확장되다, 확장시키다"
423,evolution,"진화, 발전"
424,hire,고용하다
425,isolate,"고립시키다, 격리시키다"
426,gravity,중력
427,genuine,"진짜의, 진실된"
428,statue,조각상
429,compete,경쟁하다
430,military,"군의, 군사의 군, 군대"
431,logic,"논리, 논리학"
432,commit,"(죄 등을) 저지르다, 약속하다, 헌신하다"
433,sensible,"합리적인, 현명한"
434,sum,"금액, 합계"
435,conserve,"보존하다, 보호하다"
436,swing,"흔들다, 휘두르다"
437,marriage,"결혼, 결혼 생활"
438,reproduce,"번식하다, 재생하다, 복제하다"
439,tone,"음조, 어조, 억양 조화하다, 탄력있게 만들다"
440,concept,개념
441,invitation,초대
442,precise,"정확한, 정밀한"
443,formal,"공식적인, 격식을 차린"
444,particle,"작은 조각, 입자"
445,cancel,취소하다
446,return,"돌아가다, 돌려주다 돌아감, 귀향"
447,departure,"출발, 떠남, 일탈"
448,apparent,명백한
449,visual,"눈에 보이는, 시각의"
450,agriculture,농업
451,rite,"의식, 의례"
452,poverty,가난
453,sculpture,조각상
454,descend,"내려가다, 내려오다"
455,leak,새다 새는 구멍
456,portion,"부분, 1인분"
457,companion,"친구, 동료"
458,diligent,근면한
459,distinct,"뚜렷한, 다른"
460,component,구성 요소 구성하는
461,current,"현재의, 지금의"
462,universal,"보편적인, 전 세계의"
463,trap,덫 가두다
464,eager,갈망하는
465,legal,"법률의, 합법적인"
466,demonstrate,"입증하다, 시위하다, 설명하다"
467,democracy,민주주의
468,mature,성숙한 성숙하다
469,brilliant,"빛나는, 훌륭한"
470,annual,"연간의, 해마다의"
471,faith,"믿음, 신념"
472,spare,"(시간, 돈을) 할애하다, (고생을) 면하게 하다 여분의"
473,transfer,"이동하다, 옮기다, 환승하다 이 환승"
474,refrigerator,냉장고
475,oppose,반대하다
476,desperate,"절망적인, 필사적인"
477,remote,"멀리 떨어진, 원격 조정의"
478,offend,불쾌하게 하다
479,awake,깨어있는
480,aim,"목표로 하다, 겨누다 목표"
481,option,"선택, 선택권"
482,insight,통찰력
483,achieve,"이루다, 성취하다"
484,civil,"시민의, 민간의"
485,pause,잠시 멈추다 중단
486,prove,입증하다
487,lecture,강의 강의를 하다
488,minor,"사소한, 미성년자 부전공하다"
489,duty,"의무, 관세"
490,vigor,활력
491,organize,"조직하다, 구성하다"
492,chief,"우두머리 우두머리의, 주요한"
493,complicated,복잡한
494,digest,소화하다 요약
495,shortage,"부족, 결함"
496,laboratory,실험실 실험의
497,arrive,도착하다
498,generous,"관대한, 넉넉한"
499,laundry,세탁물
500,transform,"변형시키다, 변환하다"
501,discipline,"규율, 훈련 훈육하다, 징계하다"
502,forbid,금지하다
503,ultimate,"궁극적인, 최후의"
504,thrive,"번영하다, 발전하다"
505,conversation,"대화, 회담"
506,bet,"돈을 걸다, 내기를 하다 내기"
507,royal,"왕족의, 왕의"
508,ruin,"망치다, 파멸시키다 파멸, 파산"
509,worship,"숭배하다, 예배하다 숭배, 예배"
510,evil,사악한 악
511,scarce,"부족한, 드문"
512,afterward,"나중에, 그 후에"
513,client,"고객, 의뢰인"
514,insure,"보험을 계약하다, 안전하게 하다"
515,fancy,공상 화려한 공상하다
516,surgery,외과 수술
517,assign,"할당하다, 지정하다"
518,regulate,"규제하다, 조절하다"
519,shelf,선반
520,utility,"공익사업, 유용성"
521,necessity,"필요, 필수, 필수품"
522,yield,"생산하다, 굴복하다, 양도하다 수확(물)"
523,decline,"감소, 쇠퇴 감소하다, 쇠퇴하다, 거절하다"
524,coincidence,"우연의 일치, 동시에 일어난 사건"
525,aside,"한쪽으로, 제쳐 두고"
526,contemporary,"현대의, 동시대의"
527,bless,"축복하다, 감사하다"
528,explain,설명하다
529,prior,"이전의, 우선하는"
530,tolerate,"참다, 용인하다"
531,measure,"측정하다 측정, 수단"
532,abstract,"추상적인 추상, 개요"
533,cottage,오두막집
534,correct,"올바른, 정확한 바로잡다, 정정하다"
535,confirm,"확인하다, 입증하다, (결심을) 굳게 하다"
536,imitate,모방하다
537,prey,"먹이, 희생자"
538,defeat,패배시키다 패배
539,illustrate,"설명하다, (분명히) 보여주다, 삽화를 넣다"
540,fuse,"퓨즈, 도화선 융합하다"
541,pupil,"학생, 눈동자"
542,intellect,지성
543,spice,"향신료, 양념"
544,tempt,유혹하다 (관심을) 끌다
545,inspire,"영감을 주다, 고무시키다, 격려하다"
546,dine,"식사하다, 만찬을 대접하다"
547,literally,문자 그대로
548,appropriate,적절한
549,resort,"휴양지, 의지 의지하다, 자주 가다"
550,grab,움켜쥐다 움켜쥠
551,propose,"제안하다, 청혼하다"
552,wreck,"난파선, 사고 난파시키다"
553,document,"문서, 서류 기록하다"
554,suspect,의심하다 용의자
555,alien,"외국의, 이질적인 외국인, 외계인"
556,prohibit,금지하다
557,install,설치하다
558,triumph,승리 승리하다
559,scholarship,"장학금, 학문"
560,execute,"실행하다, 처형하다"
561,ensure,"반드시 ~하게 하다, 보장하다, 확실하게 하다"
562,receipt,영수증
563,defect,"결점, 결함 (국가?당 등을) 버리다"
564,trait,"특징, 특성"
565,modest,"겸손한, 미천한, 알맞은"
566,virtual,"실제의, 가상의, 사실상의"
567,compare,"비교하다, 비유하다"
568,address,"주소, 연설, 인사말 연설하다, 접근하다"
569,inner,"안쪽의, 내적인, 내부의"
570,contrary,"반대의, 불리한 정반대, 반대의 것"
571,split,"나뉘다, 분열되다, 찢다, 쪼개다 틈, 분열"
572,supervise,"감독하다, 관리하다, 통제하다"
573,inhabit,"~에 살다, 거주하다"
574,appear,"나타나다, ~인 것 같다"
575,commute,통근하다 통근(거리)
576,earthquake,"지진, (사회?정치적) 대변동"
577,enroll,"등록하다, 입학하다"
578,debate,"논쟁하다, 토론하다 논쟁, 토론"
579,abandon,"버리다, 포기하다"
580,conquer,"정복하다, 이기다, 극복하다"
581,nevertheless,그럼에도 불구하고
582,seal,"봉인하다 봉인, 도장, 바다표범"
583,greed,"탐욕, 식탐"
584,contract,"계약, 계약서 계약하다, 수축하다"
585,nutrition,영양
586,retail,소매 소매하다 소매로
587,prejudice,"편견, 선입관 편견을 갖게 하다"
588,register,"등록하다, 기재하다 등록부"
589,agency,"기관, 대행사, 대리점"
590,nurture,"양육하다, 양성하다, 교육하다 교육, 양육"
591,priest,성직자
592,elegant,"우아한, 고상한"
593,impose,"부과하다, 강요하다"
594,arise,"발생하다, 일어나다, 생겨나다"
595,modify,"수정하다, 변형하다"
596,masterpiece,"대표작, 대작, 명작"
597,harsh,"가혹한, 거친"
598,drought,가뭄
599,criteria,"기준, 표준 (criterion의 복수형)"
600,extraordinary,"비범한, 기이한, 놀라운"
601,dim,"희미한, 어둑한 어둑하게 하다"
602,general,"일반적인, 전반적인 장군"
603,scream,비명을 지르다 비명
604,spill,"흘리다, 쏟다"
605,glare,"노려보다, 반짝 반짝 빛나다 노려봄, 눈부신 빛"
606,swallow,"삼킴, 제비 삼키다"
607,usual,"늘 하는, 흔히 있는"
608,routine,"틀에 박힌 일 일상적인, 지루한"
609,eliminate,"제거하다, 삭제하다"
610,deny,"부인하다, 거절하다"
611,sensitive,"민감한, 예민한"
612,tragic,비극적인
613,deprive,"빼앗다, 강탈하다"
614,conscious,"의식하는, 의식이 있는"
615,interfere,간섭하다
616,temporary,임시의
617,council,의회
618,adolescent,청소년 청소년의
619,arctic,북극의
620,capture,"붇잡다, 점유하다"
621,dilute,"묽은 묽게 하다, 약화시키다"
622,associate,"연상하다, 어울리다 동료"
623,figure,"숫자, 인물 이해하다, 계산하다"
624,warehouse,창고
625,crew,"승무원, (특별한 기술의)팀 승무원으로 일하다"
626,barrier,"장벽, 장애물"
627,pedestrian,보행자 보행자의
628,glance,흘꿋 보다 흘끗 봄
629,errand,심부름
630,irritate,"짜증나게 하다, 자극하다"
631,welfare,"복지, 행복"
632,cruel,"잔인한, 비참한"
633,fold,주름 접다
634,trial,"재판, 시험"
635,tribe,부족
636,profound,"깊은, 심오한"
637,tradition,전통
638,distinguish,구별하다
639,statement,"진술, 성명, 진술서"
640,prevail,"만연하다, 우세하다"
641,widespread,널리 퍼진
642,result,결과
643,fade,"사라지다, (색깔이) 바래다"
644,progress,"진전, 진보 진보하다"
645,weapon,무기
646,drastic,"과감한, 격렬한"
647,reinforcement,"병력 증강, 강화"
648,wonder,"궁금해하다, 놀라다 놀라움"
649,pile,더미 쌓다
650,protect,보호하다
651,infection,감염
652,stiffen,굳어지다
653,endanger,위험에 빠뜨리다
654,adjust,"조절하다, 적응하다"
655,peer,"동료, 또래 자세히 들여다보다"
656,renew,"새롭게 하다, 연장하다"
657,germ,"세균, 싹, 근원"
658,atom,원자
659,realize,"깨닫다, 실현하다"
660,enrich,부유하게 하다
661,noble,"고결한, 귀족의"
662,repair,수리하다 수리
663,candidate,후보자
664,ideal,이상적인 이상
665,crop,농작물
666,ethnic,민족의
667,foretell,예언하다
668,wholesale,"도매의, 대량의"
669,debt,부채
670,representative,대표자
671,shift,바꾸다 변화
672,strict,"엄격한, 엄밀한"
673,appliance,가전제품
674,furthermore,"더욱이, 게다가"
675,excess,"초과, 과다"
676,command,"명령하다, 지휘하다 명령, 지휘"
677,ecosystem,생태계
678,fame,명성
679,oral,입의 구술시험
680,drift,"표류, 일반적인 경향 떠돌다, 방황하다"
681,outstanding,"뛰어난, 눈에 띄는"
682,mislead,잘못 판단하게 하다
683,dedicate,"(시간, 노력을) 바치다"
684,avoid,"피하다, 방지하다"
685,initial,"초기의, 처음의 머리글자 (이니셜)"
686,sink,가라앉다
687,beard,턱수염
688,haste,서두름
689,crush,"으스러뜨리다, 빻다"
690,confront,"맞서다, 직면하다"
691,destiny,운명
692,hardship,"고난, 고통"
693,escape,"탈출하다, 벗어나다 탈출, 도피"
694,valid,"타당한, 유효한"
695,entire,"전체의, 완전한 전부, 전체"
696,dispose,"배치하다, 처리하다"
697,optimal,최적의
698,hydrogen,수소
699,thread,실 실을 꿰다
700,dynasty,왕조
701,scatter,"뿌리다, 흩어지다"
702,gamble,"돈을 걸다, 도박을 하다 도박"
703,temper,"성질, 기분"
704,exist,"존재하다, 살아가다"
705,undoubtedly,"의심할 여지없이, 확실히"
706,raft,"뗏목, 비닐보트"
707,minimal,"최소의, 아주 적은"
708,soak,흠뻑 적시다
709,craft,"공예, 기술 공들여 만들다"
710,combat,전투 싸우다
711,cease,중단하다
712,ceiling,"천장, 최고 한도"
713,unify,"통합하다, 통일하다"
714,perspective,"견해, 관점"
715,doom,나쁜 운명 운명 짓다
716,bump,부딫치다
717,primary,"주된, 초기의"
718,genre,"형식, 장르"
719,erase,지우다
720,review,"복습하다, 재검토하다 복습, 검토, 비평"
721,vital,"필수적인, 중요한, 생명 유지와 관련된"
722,incident,"사건, 일어난 일 일어나기 쉬운"
723,session,"시간, 회의, 기간, 학기"
724,obvious,"분명한, 명백한"
725,moderate,"온건한, 적당한"
726,budget,"예산, 예산안"
727,graze,"풀을 뜯다, 방목하다"
728,fragile,부서지기 쉬운
729,myth,"신화, 사회적 통념"
730,fur,"부드러운 털, 모피"
731,indifferent,무관심한
732,strain,"긴장, 압박 잡아당기다, 긴장시키다, 혹사하다"
733,ingredient,"재료, 성분"
734,dismiss,"묵살하다, 해고하다, 해산시키다"
735,geometry,기하학
736,glacier,빙하
737,urge,"촉구하다, 강요하다"
738,celebrity,"유명 인사, 명성"
739,antique,"고대의, 옛날의, 고풍의 골동품"
740,profit,"이익, 이윤 이익을 얻다"
741,sphere,"구, 구체"
742,inherit,"상속받다, 물려받다"
743,disgrace,"불명예, 수치"
744,crawl,"기어가다, 서행하다 기어가기, 서행"
745,scratch,"긁다, 할퀴다 긁힌 자국, 찰과상"
746,diabetes,당뇨병
747,congestion,"혼잡, 밀집"
748,constitute,"구성하다, 설립하다, 제정하다"
749,flow,흐름 흐르다
750,investigate,"조사하다, 수사하다"
751,barter,"물물 교환, 교역품 물물 교환하다"
752,circular,"원의, 순환의"
753,chilly,"쌀쌀한, 냉담한"
754,ancestor,"조상, 선조"
755,fierce,"사나운, 맹렬한"
756,vague,"희미한, 막연한, 모호한"
757,rough,"거친, 난폭한, 대강의"
758,content,"내용, 목차 만족하는"
759,obstacle,"장애물, 방해가 되는 것"
760,editorial,"편집자의 사설, 논설"
761,abolish,폐지하다
762,assure,"확실하게 하다, 보증하다"
763,form,"형태, 종류 형성하다"
764,gender,"성, 성별"
765,innovation,혁신
766,opponent,"상대, 반대자 반대하는"
767,present,"현재의 현재, 선물 제출하다 나타내다"
768,fertile,"비옥한, 기름진"
769,emperor,황제
770,dwell,"거주하다, 살다"
771,chore,"허드렛일, 집안일"
772,rehearsal,"리허설, 예행연습"
773,fossil,화석
774,glitter,동사 반짝이다명사 반짝임
775,carve,"새기다, 조각하다"
776,decay,"부패하다, 쇠퇴하다 부패, 쇠퇴"
777,protein,단백질
